Survey_item,Detail,2014,2015,2016,2017,2018,2019
Means of travel arrangements,at a store (travel agency/airline company/etc.),,311.0,327.0,328.0,475.0,454.0
Means of travel arrangements,through a website,,203.0,234.0,224.0,427.0,474.0
Means of travel arrangements,by phone or other ways,,46.0,35.0,31.0,43.0,56.0
Annual household income,Less than 5000k yen,,131.0,122.0,139.0,86.0,79.0
Annual household income,5000k ~ less then 10000k yen,,17.0,14.0,9.0,8.0,1.0
Annual household income,10000k ~ less then 20000k yen,,12.0,9.0,6.0,2.0,3.0
Annual household income,20000k ~ less then 30000k yen,,2.0,1.0,,,
Annual household income,More than 30000k yen,,2.0,2.0,3.0,,
Annual household income,Unidentified,,,,,849.0,901.0
Transport used for returning home,FSA (Full-Service Airline),,,,,851.0,966.0
Transport used for returning home,LCC (Low-Cost Airline),,,,,94.0,18.0
Transport used for returning home,Ships,,,,,,
